10000,0.9402
20000,0.9565
30000,0.9248
40000,0.9473
50000,0.942
60000,0.9378
70000,0.9608
80000,0.9206
90000,0.9208
100000,0.9345
110000,0.9455
120000,0.9184
130000,0.9314
140000,0.9189
150000,0.8912
160000,0.9304
170000,0.9343
180000,0.9027
190000,0.9061
200000,0.9305
210000,0.9251
220000,0.9329
230000,0.9596
240000,0.9185
250000,0.948
260000,0.9082
270000,0.9326
280000,0.9341
290000,0.9153
300000,0.9166
310000,0.9258
320000,0.9551
330000,0.9106
340000,0.9579
350000,0.8858
360000,0.9482
370000,0.9091
380000,0.9398
390000,0.9468
400000,0.9225
410000,0.9518
420000,0.9455
430000,0.9292
440000,0.9423
450000,0.9425
460000,0.9342
470000,0.9715
480000,0.9292
490000,0.956
500000,0.9263
510000,0.9168
520000,0.9362
530000,0.9336
540000,0.9491
550000,0.9317
560000,0.923
570000,0.9308
580000,0.9191
590000,0.9229
600000,0.945
610000,0.9441
620000,0.9314
630000,0.9369
640000,0.945
650000,0.9232
660000,0.923
670000,0.9073
680000,0.947
690000,0.9173
700000,0.9248
710000,0.9461
720000,0.9467
730000,0.8967
740000,0.9262
750000,0.8995
760000,0.9393
770000,0.9529
780000,0.9716
790000,0.9311
800000,0.9114
810000,0.9401
820000,0.9399
830000,0.9697
840000,0.9258
850000,0.9382
860000,0.9341
870000,0.9523
880000,0.9113
890000,0.9637
900000,0.9281
910000,0.9488
920000,0.9187
930000,0.9252
940000,0.9277
950000,0.9544
960000,0.9231
970000,0.941
980000,0.9417
990000,0.925
1000000,0.9551
