10000,0.4724
20000,0.4639
30000,0.4574
40000,0.4652
50000,0.4639
60000,0.4619
70000,0.4673
80000,0.4588
90000,0.4667
100000,0.458
110000,0.4541
120000,0.4586
130000,0.4578
140000,0.4597
150000,0.4524
160000,0.4606
170000,0.4669
180000,0.4538
190000,0.4576
200000,0.464
210000,0.4656
220000,0.462
230000,0.4624
240000,0.4608
250000,0.462
260000,0.4572
270000,0.4544
280000,0.4615
290000,0.4591
300000,0.4632
310000,0.4576
320000,0.4668
330000,0.4655
340000,0.463
350000,0.4655
360000,0.4537
370000,0.4505
380000,0.4656
390000,0.4539
400000,0.4604
410000,0.4446
420000,0.4606
430000,0.4541
440000,0.4638
450000,0.456
460000,0.4558
470000,0.4564
480000,0.4539
490000,0.4597
500000,0.4607
510000,0.4658
520000,0.4576
530000,0.4628
540000,0.457
550000,0.4686
560000,0.4579
570000,0.458
580000,0.4605
590000,0.4642
600000,0.4595
610000,0.4588
620000,0.4666
630000,0.4572
640000,0.4542
650000,0.4645
660000,0.4674
670000,0.4583
680000,0.4543
690000,0.4548
700000,0.4579
710000,0.4553
720000,0.4605
730000,0.4469
740000,0.4644
750000,0.4671
760000,0.4558
770000,0.4501
780000,0.4641
790000,0.4542
800000,0.4499
810000,0.4555
820000,0.4572
830000,0.4567
840000,0.4709
850000,0.4662
860000,0.4548
870000,0.4646
880000,0.4512
890000,0.466
900000,0.4612
910000,0.4581
920000,0.4528
930000,0.4634
940000,0.4574
950000,0.4631
960000,0.4692
970000,0.4581
980000,0.4522
990000,0.4559
1000000,0.4581
